start_date,expiry,num_revaluation_dates,final_cumulative_pnl,options_pnl_contribution,stock_pnl_contribution,total_transaction_costs,accounting_control_residual,max_abs_spy_stock_position,max_abs_aapl_stock_position,total_stock_turnover_notional,max_drawdown,status,error_message
2021-01-04,2021-02-05,24,-144.4557299215857,-734.0752922021148,613.4985648728227,23.87900259230075,-7.190692485892214e-12,99.9504918063561,145.75287345522543,238790.02592300752,-621.5864588290697,ok,
2021-02-01,2021-03-05,24,-452.29190594434243,1375.7030408954965,-1810.2261029249985,17.76884391484421,-3.694822225952521e-12,84.77034826056205,169.0266675813153,177688.43914844212,-627.1517358877946,ok,
2021-03-01,2021-04-01,24,194.30561790749547,-224.91623486858623,445.19047156167755,25.968618785593783,2.0747847884194925e-12,93.62762291903478,162.50266481554826,259686.1878559378,-251.1115735389194,ok,
2021-04-01,2021-04-30,21,-51.049493308882056,-376.95088955324434,341.83587183493194,15.934475590565626,4.028777311759768e-12,99.98764018135353,145.46793637886293,159344.75590565626,-134.71262729105547,ok,
2021-05-03,2021-06-04,24,409.40370927922095,966.498349435078,-534.6280599057424,22.466580250125485,-1.0800249583553523e-11,54.36676729330299,199.60908057130817,224665.80250125483,-264.78792336342485,ok,
2021-06-01,2021-07-02,24,242.23507660668247,1759.7154975053957,-1494.295973894851,23.184447003859873,2.3874235921539366e-12,97.78311849752106,194.59725716572646,231844.47003859875,-335.18401747157463,ok,
2021-07-01,2021-07-30,21,-49.60655937108295,414.98148557447576,-439.78707721911974,24.800967726449713,-1.0743406164692715e-11,95.73707353241767,139.23458214854398,248009.6772644971,-156.03742044963303,ok,
2021-08-02,2021-09-03,25,151.48811234527682,192.06208319385183,-13.855914857321466,26.71805599124942,4.121147867408581e-12,99.87854205986689,204.11714761741933,267180.5599124942,-342.7415031357955,ok,
2021-09-01,2021-10-01,22,48.323886325025285,48.24718856074878,19.058373179771706,18.981675415494962,2.4158453015843406e-13,99.99111147800245,153.17731654173502,189816.7541549496,-168.75161519232006,ok,
2021-10-01,2021-11-05,26,-215.51048064334964,-1823.6343968643719,1629.7135838002637,21.58966757924514,-3.694822225952521e-12,99.97752253632255,198.30612016232337,215896.67579245142,-384.58558588676624,ok,
2021-11-01,2021-12-03,24,-152.8161569822002,1888.0865394138166,-2011.5021146465672,29.40058174944356,6.0254023992456496e-12,74.59592089270478,195.67032648146588,294005.8174944356,-695.5442271366373,ok,
2021-12-01,2021-12-31,22,455.3652775491334,191.29951530985886,295.78826063325596,31.72249839397695,4.490630090003833e-12,99.93731397266076,214.14527177404943,317224.98393976944,-649.2941673693497,ok,
